"SourcePath"	"TargetPath"	"Class"	"Trust"	"Action"	"Bytes"	"SourceModified"	"SHA256"
"D:\Code\event_camera\dhp19_dataset.py"	"D:\EventPoseFinal\scripts\data\dhp19_dataset.py"	"project-code"	"prototype-dummy-labels"	"copied-source-preserved"	"3106"	"2026-07-11T09:54:18+08:00"	"d9d5cd04b65255cff9af1f2b56be08bce9859d5411393471114aa3d45cbd9a06"
"D:\OpenEB_Dev\openeb\event_to_voxel.py"	"D:\EventPoseFinal\scripts\data\event_to_voxel.py"	"project-code"	"prototype"	"copied-source-preserved"	"1785"	"2026-05-15T11:16:28+08:00"	"4ac44979dd62e28a1120450459a51b0c45f46ba9a9329f5e4c5d66f7e2a68e42"
"D:\OpenEB_Dev\openeb\view_npy.py"	"D:\EventPoseFinal\scripts\data\view_npy.py"	"project-code"	"prototype-hard-coded-path"	"copied-source-preserved"	"868"	"2026-07-28T10:56:39+08:00"	"84c924d49095af69f437eb9d3d7bac0f6e07d6000787ef91a6961d6a42355c15"
"D:\OpenEB_Dev\openeb\test_camera.py"	"D:\EventPoseFinal\scripts\diagnostics\test_camera.py"	"project-code"	"future-camera-probe"	"copied-source-preserved"	"711"	"2026-05-16T15:57:29+08:00"	"cbdc639914741f5a8460422336a0524ee94d9b7f61c57e13cb0e364a4b59b979"
"D:\OpenEB_Dev\openeb\generate_raw.py"	"D:\EventPoseFinal\scripts\diagnostics\generate_invalid_raw.py"	"project-code"	"invalid-openeb-format-demo"	"copied-source-preserved"	"1041"	"2026-05-15T11:13:04+08:00"	"8f7d2c769e86a7935d7b325e7bb41782a5272198475be8c756abf8454f39d7d3"
"D:\OpenEB_Dev\openeb\test_filter.py"	"D:\EventPoseFinal\scripts\diagnostics\filter_benchmark_demo.py"	"project-code"	"fabricated-output-demo"	"copied-source-preserved"	"1310"	"2026-05-16T21:25:33+08:00"	"d650a3605cfa1796346b209b4e58837286c4b680de7a75a3bbc18ecd4208b5e0"
"D:\OpenEB_Dev\openeb\test_dummy.raw"	"D:\EventPoseFinal\tests\fixtures\test_dummy.invalid.raw"	"custom-fixture"	"not-openeb-raw"	"copied-source-preserved"	"1300062"	"2026-05-15T11:13:15+08:00"	"3df33803b1e6de6625e2a9ad19fbd869074bed48414022fe47ebbbd1ae90a35a"
"D:\Desktop\OpenEB 开发环境与相机连接.docx"	"D:\EventPoseFinal\docs\notes\OpenEB 开发环境与相机连接.docx"	"historical-note"	"ai-generated-unverified"	"copied-source-preserved"	"3020215"	"2026-04-22T23:26:41+08:00"	"32516c9c10bda534e6201e7ee5b7bb3965f07428ffaff3af93edc79967d3bd93"
"D:\Desktop\Metavision SDK 环境搭建成功.docx"	"D:\EventPoseFinal\docs\notes\Metavision SDK 环境搭建成功.docx"	"historical-note"	"ai-generated-unverified"	"copied-source-preserved"	"23575525"	"2026-04-23T00:30:34+08:00"	"2cd7bc6c3787e7e6d07eb2af5092369bb73b76e20e1da9fd5a77f3d9b5fc9b67"
"D:\Desktop\步骤.docx"	"D:\EventPoseFinal\docs\notes\步骤.docx"	"historical-note"	"ai-generated-unverified"	"copied-source-preserved"	"14599"	"2026-05-16T18:56:19+08:00"	"0c59186ea2ce237ace8cb85f59738a74dd1dfe6d9482d8f8734375d92865f3d6"
"D:\Desktop\运行事件相机测试代码.docx"	"D:\EventPoseFinal\docs\notes\运行事件相机测试代码.docx"	"historical-note"	"ai-generated-unverified"	"copied-source-preserved"	"3019223"	"2026-04-22T23:49:17+08:00"	"64f223daac5de4e6dea8a5c2de4ee808502aadb8155718438a01ff07a2e6ea39"
"D:\Desktop\相机未找到，但SDK通了.docx"	"D:\EventPoseFinal\docs\notes\相机未找到，但SDK通了.docx"	"historical-note"	"ai-generated-unverified"	"copied-source-preserved"	"3018781"	"2026-04-22T23:55:57+08:00"	"dbe95fa39826890147869f615924c3da5b4f3d489d7ebb2381d0169201483690"
"D:\Desktop\2.docx"	"D:\EventPoseFinal\docs\notes\2.docx"	"historical-note"	"ai-generated-unverified"	"copied-source-preserved"	"15964"	"2026-07-14T13:45:59+08:00"	"cfd321018684404cc70235dbe7910e086dcd333b661d2f193e9b4721d973f64b"
"D:\Desktop\基于事件相机的人体姿态估计预训练基础模型研究.txt"	"D:\EventPoseFinal\docs\research\基于事件相机的人体姿态估计预训练基础模型研究.txt"	"research"	"reference"	"copied-source-preserved"	"1984"	"2026-03-24T16:47:59+08:00"	"2d08088481e6cdceb03888fcad9f25cdf70d7a3483b01130c2e68ed91f57c178"
"D:\Desktop\2026416创新.pdf"	"D:\EventPoseFinal\docs\research\2026416创新.pdf"	"research"	"project-proposal"	"copied-source-preserved"	"2366053"	"2026-06-20T13:04:08+08:00"	"a4c7102c9297449229d16fb62ac7c4c2c9b75b634da2cdf6ee21f1e68a170600"
"D:\Desktop\姿态估计项目\流程图.png"	"D:\EventPoseFinal\docs\research\流程图.png"	"research"	"project-flowchart"	"copied-source-preserved"	"67136"	"2026-04-28T15:07:03+08:00"	"3f844503d9d7b27aaf9981fb54a952ea1e94d4f465a12ef1f1a10421a0b483b4"
"D:\Code\event_camera\Miniconda3-latest-Linux-x86_64.sh"	""	"installer"	"external-download"	"inventory-only-not-copied"	"197303002"	"2026-07-08T23:42:36+08:00"	"42cfece170da342364a78d629e06b94dfd81b0f2717d7655729100d888d606b4"
